layers,Fluorescent cells,Area,Density,DAPI cell count,Transfection efficiency
1,5,0.10,49.067,156,0.0320
2,21,0.10,193.54,183,0.1147
3,25,0.11,217.20,249,0.1004
4,11,0.12,90.386,328,0.0335
5,13,0.12,101.32,424,0.0306
6,10,0.13,74.129,420,0.0238
7,25,0.14,176.67,320,0.0781
8,71,0.14,479.41,342,0.2076
Total selected reg,181,1,181,2422,0.07473162675474815
Total image,255,2.23,114.34,4292,0.05941286
